Zweck,Verrechenbarkeit
.0 Vorabphase (Stundenabr) [+],Intern
.1 Bauökologisches Pflichtenheft [+],Extern
.2 Planungsphase,Extern
.2 Sonderleistungen,Extern
""".4 Bauproduktgrundlage """"ENV 1.3""""[+]""",Extern
Check,Intern
"Geschäftsstelle, Stuttgart",Intern
II_Handbuch Bauprodukte im Mieterausbau,Intern
MÜNSTER_Neubauten BLB NRW Münster (BNB),Extern
RLM_GIZ Campus Eschborn,Extern
"RLM_Wohnbebauung LANGEN, Steubenstraße Langen",Extern
Rezertifizierung),Extern
und Recyclinganalyse,Extern
und Recyclinganalyse [+],Extern
& Recyclinganalyse,Extern
.1 Auftaktphase,Intern
.2 Zielvereinbarung und Dokumentenliste [+],Intern
.5 Bauproduktgrundlagen „ENV 1.2“ [+],Extern
BE Begleitung (Stundenabrechnung),Intern
BiRN,Intern
Infrastruktur,Extern
"RLM_Grünstadter Straße 13, Obersülzen",Extern
& Recyclinganalyse [+],Extern
.0  Gesamtphase [+],Intern
.0 Sonderpauschale [+],Intern
.1 Bauprodukte 1,Extern
.2 Raumluftmessung [+],Extern
.4 Ausführungsphase,Extern
AGD_Altmarkt Galerie Dresden (ECE Hospitality),Extern
AP Ausführungsphase [+],Extern
Automatisierung & Digitalisierung,Intern
B&O_Nachhaltigkeitsberatung B&O Service GmbH,Extern
BP Bauprodukteprüfungen [+],Extern
Begleitung und Dokumentation (1/2) [+],Extern
CHECK + ZIELVEREINBARUNG [+],Intern
Center Leipzig (BREEAM),Extern
LCC Lebenszykluskostenrechnung [+],Extern
"NBM_ Neubau Bauhof mit DRK, Muggensturm",Extern
PP Planungsphase [+],Extern
PP_PLANUNGSPHASE [+],Extern
Platzhalter Musterprojekt 1,Intern
SE_Strategieentwicklung [+],Intern
Weiterbegleitung,Intern
ZB Zirkuläres Bauen [+],Extern
ZV Zielvereinbarung [+],Intern
ZV_ZIELVEREINBARUNG [+],Intern
